N,M,LOWER_BOUND,LOWER_BOUND_SECONDS_TAKEN,UPPER_BOUND,UPPER_BOUND_SECONDS_TAKEN,BOUNDS_SIZE
1,1,0.1086605804275036,0.0001752376556396,0.1265890871026321,6.151199340820312e-05,0.0179285066751284
2,1,0.5392634111615855,0.0002655982971191,0.7419654701502313,0.0002133846282958,0.2027020589886458
1,2,0.10887082613903278,0.0003871917724609375,0.12843300175004516,0.0001850128173828125,0.01956217561101238
