N,M,LOWER_BOUND,LOWER_BOUND_TIME_TAKEN,LOWER_BOUND_REQUIRED_ITERATIONS
1,1,0.1040568067305824,0.0069811344146728,7
2,1,0.5392634111615854,0.1172223091125488,13
3,1,0.103558376578837,1.5664310455322266,46
4,1,0.5351128708645817,12.468524932861328,77
5,1,29971.290714320436,62.67893624305725,12
