N,M,GC_LOWER_BOUND,GC_UPPER_BOUND,GC_LOWER_BOUND_REQUIRED_ITERATIONS,GC_UPPER_BOUND_REQUIRED_ITERATIONS,GC_SECONDS_TAKEN,LP_LOWER_BOUND,LP_UPPER_BOUND,LP_SECONDS_TAKEN,TRUE_VALUE
1,1,0.1063927548795956,0.1293864238564089,7.0,6.0,0.113551378250122,0.1063927548795956,0.1293864238564089,0.113551378250122,0.1213137605846889
1,1,0.1073708222175873,0.1237193553327205,7.0,6.0,0.6750478744506836,0.1073708222175873,0.1237193553327205,0.6750478744506836,0.1161420875230734
1,1,0.1051964725149109,0.1253664046034882,7.0,6.0,0.1060073375701904,0.1051964725149109,0.1253664046034882,0.1060073375701904,0.117029347834738
1,1,0.1016553495413018,0.1252613511382546,7.0,6.0,0.1058897972106933,0.1016553495413018,0.1252613511382546,0.1058897972106933,0.1143441929657063
1,1,0.0980559648669569,0.1195449601248524,7.0,6.0,0.1055998802185058,0.0980559648669569,0.1195449601248524,0.1055998802185058,0.1107815738026637
1,1,0.107919916915461,0.1274677992253786,7.0,6.0,0.1061849594116211,0.107919916915461,0.1274677992253786,0.1061849594116211,0.1185823412624699
1,1,0.1001904069922253,0.1220193542829754,7.0,6.0,0.1097066402435302,0.1001904069922253,0.1220193542829754,0.1097066402435302,0.1141195921010201
1,1,0.1044662481496733,0.1207568217072047,7.0,6.0,0.1057827472686767,0.1044662481496733,0.1207568217072046,0.1057827472686767,0.1133864381963414
1,1,0.0994490226510361,0.1243383723645533,7.0,6.0,0.1055595874786377,0.0994490226510361,0.1243383723645533,0.1055595874786377,0.1133181612770116
1,1,0.1022824557579928,0.1233344672470805,7.0,6.0,0.1055634021759033,0.1022824557579928,0.1233344672470806,0.1055634021759033,0.1130084586496468
1,1,0.1017705796844405,0.1254830711958886,7.0,6.0,0.1058990955352783,0.1017705796844405,0.1254830711958886,0.1058990955352783,0.1143675937757756
1,1,0.0963422647201559,0.1249132832763783,7.0,6.0,0.1064765453338623,0.0963422647201559,0.1249132832763783,0.1064765453338623,0.1141208981782991
1,1,0.1027982415254237,0.1203783757062147,7.0,6.0,0.1060121059417724,0.1027982415254237,0.1203783757062146,0.1060121059417724,0.1115921805862564
1,1,0.103405163980031,0.1217603077866659,7.0,6.0,0.1064381599426269,0.103405163980031,0.121760307786666,0.1064381599426269,0.1146585299509359
1,1,0.1033506332259254,0.1211203297584123,7.0,6.0,0.1058108806610107,0.1033506332259254,0.1211203297584122,0.1058108806610107,0.1148271691215293
1,1,0.0994851140380623,0.1221901053548307,7.0,6.0,0.1055779457092285,0.0994851140380623,0.1221901053548307,0.1055779457092285,0.1108394064291023
1,1,0.1057313217486105,0.1268221366338185,7.0,6.0,0.6979391574859619,0.1057313217486105,0.1268221366338186,0.6979391574859619,0.1181703306915668
1,1,0.104214170321771,0.120255041125137,7.0,6.0,0.1055784225463867,0.104214170321771,0.120255041125137,0.1055784225463867,0.1133620335714625
1,1,0.1080107561187836,0.1242536926662235,7.0,6.0,0.1067225933074951,0.1080107561187836,0.1242536926662235,0.1067225933074951,0.1170787384612347
1,1,0.1021125285904974,0.1242200537537429,7.0,6.0,0.1054565906524658,0.1021125285904974,0.1242200537537429,0.1054565906524658,0.1158989361307437
1,1,0.0950702272545218,0.1157831925375286,7.0,6.0,0.1055114269256591,0.0950702272545218,0.1157831925375286,0.1055114269256591,0.1054240651729085
1,1,0.1009809780064836,0.1252212984258333,7.0,6.0,0.1046376228332519,0.1009809780064836,0.1252212984258333,0.1046376228332519,0.1152197832679486
1,1,0.104997002208701,0.1267466037848579,7.0,6.0,0.1091375350952148,0.104997002208701,0.1267466037848579,0.1091375350952148,0.1183021910304421
1,1,0.1014254807692307,0.1219521634615384,7.0,6.0,0.1060283184051513,0.1014254807692307,0.1219521634615384,0.1060283184051513,0.1124482521962123
1,1,0.1018852730255809,0.1250758293984887,7.0,6.0,0.1049740314483642,0.1018852730255809,0.1250758293984887,0.1049740314483642,0.116229725698012
1,1,0.1035885330303626,0.1182252728798015,7.0,6.0,0.1055316925048828,0.1035885330303626,0.1182252728798015,0.1055316925048828,0.1111530547551978
1,1,0.1043155265177178,0.120911845076784,7.0,6.0,0.1053717136383056,0.1043155265177178,0.120911845076784,0.1053717136383056,0.111710629215247
1,1,0.1013498652062909,0.1276957972013785,7.0,6.0,0.1048831939697265,0.1013498652062909,0.1276957972013785,0.1048831939697265,0.1173624962457613
1,1,0.0966305711252432,0.1207979550562688,7.0,6.0,0.1051795482635498,0.0966305711252432,0.1207979550562688,0.1051795482635498,0.1089479511743151
