N,M,GC_LOWER_BOUND,GC_UPPER_BOUND,GC_LOWER_BOUND_REQUIRED_ITERATIONS,GC_UPPER_BOUND_REQUIRED_ITERATIONS,GC_SECONDS_TAKEN,LP_LOWER_BOUND,LP_UPPER_BOUND,LP_SECONDS_TAKEN,TRUE_VALUE
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.6811439990997314,,,,0.1135937865383885
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.1064264774322509,,,,0.1135937865383885
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.1098976135253906,,,,0.1135937865383885
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.1057078838348388,,,,0.1135937865383885
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.105947732925415,,,,0.1135937865383885
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.1057050228118896,,,,0.1135937865383885
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.1054680347442627,,,,0.1135937865383885
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.1056432723999023,,,,0.1135937865383885
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.1058290004730224,,,,0.1135937865383885
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.1055905818939209,,,,0.1135937865383885
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.1057009696960449,,,,0.1135937865383885
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.1102988719940185,,,,0.1135937865383885
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.1095204353332519,,,,0.1135937865383885
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.1057574748992919,,,,0.1135937865383885
1,1,0.101519846932076,0.1233644235879671,7.0,6.0,0.105680227279663,,,,0.1135937865383885
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.2734479904174804,,,,0.5436005762531598
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.276484727859497,,,,0.5436005762531598
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.2746181488037109,,,,0.5436005762531598
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.2771484851837158,,,,0.5436005762531598
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.2752964496612549,,,,0.5436005762531598
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.2744917869567871,,,,0.5436005762531598
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.2724456787109375,,,,0.5436005762531598
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.2720417976379394,,,,0.5436005762531598
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.2705521583557129,,,,0.5436005762531598
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.2716927528381347,,,,0.5436005762531598
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.2736589908599853,,,,0.5436005762531598
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.2737843990325928,,,,0.5436005762531598
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.2727501392364502,,,,0.5436005762531598
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.2728302478790283,,,,0.5436005762531598
2,1,0.5392634111615854,0.7419654701502312,13.0,14.0,0.2736167907714844,,,,0.5436005762531598
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2081165313720703,,,,0.1188817894098154
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2145025730133056,,,,0.1188817894098154
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2115824222564697,,,,0.1188817894098154
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2135257720947265,,,,0.1188817894098154
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.209017276763916,,,,0.1188817894098154
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2083973884582519,,,,0.1188817894098154
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2085978984832763,,,,0.1188817894098154
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2090203762054443,,,,0.1188817894098154
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2083699703216552,,,,0.1188817894098154
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2090859413146972,,,,0.1188817894098154
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.208298921585083,,,,0.1188817894098154
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2081685066223144,,,,0.1188817894098154
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2081477642059326,,,,0.1188817894098154
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2084937095642089,,,,0.1188817894098154
1,2,0.1088708261390327,0.1284330017500451,16.0,11.0,0.2084295749664306,,,,0.1188817894098154
3,1,0.103558376578837,0.1237810221002596,48.0,34.0,1.8523786067962649,,,,0.1153011202211446
3,1,0.103558376578837,0.1237810221002596,48.0,34.0,1.8408970832824707,,,,0.1153011202211446
3,1,0.103558376578837,0.1237810221002596,48.0,34.0,1.845111846923828,,,,0.1153011202211446
3,1,0.103558376578837,0.1237810221002596,48.0,34.0,1.841693639755249,,,,0.1153011202211446
3,1,0.103558376578837,0.1237810221002596,48.0,34.0,1.842404127120972,,,,0.1153011202211446
3,1,0.103558376578837,0.1237810221002596,48.0,34.0,1.8533573150634768,,,,0.1153011202211446
3,1,0.103558376578837,0.1237810221002596,48.0,34.0,1.841500759124756,,,,0.1153011202211446
3,1,0.103558376578837,0.1237810221002596,48.0,34.0,1.8502953052520752,,,,0.1153011202211446
3,1,0.103558376578837,0.1237810221002596,48.0,34.0,1.853326797485352,,,,0.1153011202211446
3,1,0.103558376578837,0.1237810221002596,48.0,34.0,1.8546538352966309,,,,0.1153011202211446
3,1,0.103558376578837,0.1237810221002596,48.0,34.0,1.8418402671813965,,,,0.1153011202211446
3,1,0.103558376578837,0.1237810221002596,48.0,34.0,1.858677864074707,,,,0.1153011202211446
3,1,0.103558376578837,0.1237810221002596,48.0,34.0,1.838600873947144,,,,0.1153011202211446
3,1,0.103558376578837,0.1237810221002596,48.0,34.0,1.8450579643249512,,,,0.1153011202211446
3,1,0.103558376578837,0.1237810221002596,48.0,34.0,1.8518478870391848,,,,0.1153011202211446
4,1,0.5351128708645817,0.7650154552404693,77.0,118.0,16.746253967285156,,,,0.537534671386244
4,1,0.5351128708645817,0.7650154552404693,77.0,118.0,16.651504039764404,,,,0.537534671386244
4,1,0.5351128708645817,0.7650154552404693,77.0,118.0,16.667178630828857,,,,0.537534671386244
4,1,0.5351128708645817,0.7650154552404693,77.0,118.0,16.60676646232605,,,,0.537534671386244
4,1,0.5351128708645817,0.7650154552404693,77.0,118.0,16.625030755996704,,,,0.537534671386244
4,1,0.5351128708645817,0.7650154552404693,77.0,118.0,16.639566659927368,,,,0.537534671386244
4,1,0.5351128708645817,0.7650154552404693,77.0,118.0,16.782166481018066,,,,0.537534671386244
4,1,0.5351128708645817,0.7650154552404693,77.0,118.0,16.659210920333862,,,,0.537534671386244
4,1,0.5351128708645817,0.7650154552404693,77.0,118.0,16.78236150741577,,,,0.537534671386244
4,1,0.5351128708645817,0.7650154552404693,77.0,118.0,16.63866376876831,,,,0.537534671386244
4,1,0.5351128708645817,0.7650154552404693,77.0,118.0,16.688531160354614,,,,0.537534671386244
4,1,0.5351128708645817,0.7650154552404693,77.0,118.0,16.626715660095215,,,,0.537534671386244
4,1,0.5351128708645817,0.7650154552404693,77.0,118.0,16.67428755760193,,,,0.537534671386244
4,1,0.5351128708645817,0.7650154552404693,77.0,118.0,17.249199151992798,,,,0.537534671386244
4,1,0.5351128708645817,0.7650154552404693,77.0,118.0,16.698926210403442,,,,0.537534671386244
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.8748822212219238,,,,0.5559538150681963
2,2,0.5519973583443178,0.6177122974940128,40.0,36.0,0.8721873760223389,,,,0.5559538150681963
