N,M,LOWER_BOUND,LOWER_BOUND_REQUIRED_ITERATIONS,UPPER_BOUND,TOTAL_SECONDS_TAKEN,UPPER_BOUND_REQUIRED_ITERATIONS,BOUNDS_SIZE
1,1,0.1086605804275036,7,0.1265890871026321,0.7493689060211182,6,0.0179285066751285
2,1,0.5392634111615854,13,0.7419654701502312,0.2708325386047363,14,0.2027020589886458
3,1,0.103558376578837,46,0.1237810221002596,1.814950704574585,34,0.0202226455214226
4,1,0.5351128708645817,77,0.7650154552404693,15.974915266036987,107,0.2299025843758876
1,2,0.1088708261390327,16,0.1284330017500451,0.2155706882476806,11,0.0195621756110123
2,2,0.5519973583443178,40,0.6177122974940128,0.8666749000549316,36,0.06571493914969495
