N,M,LOWER_BOUND,LOWER_BOUND_REQUIRED_ITERATIONS,UPPER_BOUND,UPPER_BOUND_REQUIRED_ITERATIONS,TOTAL_SECONDS_TAKEN
1,1,0.1086605804275036,7.0,0.1265890871026321,6.0,0.7773582935333252
2,1,0.5392634111615854,13.0,0.7419654701502312,14.0,0.2710182666778564
3,1,0.103558376578837,46.0,0.1237810221002596,34.0,1.806934356689453
4,1,0.5351128708645817,77.0,0.7650154552404693,107.0,15.83680272102356
5,1,0.0978618223182011,262.0,0.1197645273392433,313.0,204.28224754333496
6,1,,,,,
1,2,0.1088708261390327,16.0,0.1284330017500451,11.0,0.2266921997070312
2,2,0.5519973583443178,40.0,0.6177122974940128,36.0,0.8855218887329102
