N,M,ALGO_LOWER_BOUND,ALGO_UPPER_BOUND,ALGO_TOTAL_SECONDS_TAKEN
1,1,0.1086605804275036,0.1265890871026321,0.7419049739837646
2,1,0.5392634111615855,0.7419654701502313,1.7762463092803955
3,1,0.103558376578837,0.1237810221002597,121.38809108734132
4,1,0.5351128708645816,0.7650154552404693,480.24148654937744
5,1,0.09786182231820115,0.11976452733924342,8388.112441301346
