N,M,COLUMN_GEN,ALGORITHM,CG_LOWER,CG_UPPER,DIFF_LOWER,DIFF_UPPER,TRUE_VALUE,CG_TIME,ALGORITHM_TIME,CG_LOWER_Ite,CG_UPPER_Ite
1,1,True,True,0.1086605804275036,0.1265890871026321,0.0,0.0,0.1171917911894629,0.7773582935333252,0.7419049739837646,7,6
2,1,True,True,0.5392634111615854,0.7419654701502312,-1.1102230246251565e-16,-1.1102230246251565e-16,0.5436005762531598,0.2710182666778564,1.7762463092803955,13,14
3,1,True,True,0.103558376578837,0.1237810221002596,0.0,-9.71445146547012e-17,0.1153011202211446,1.806934356689453,121.38809108734132,46,34
4,1,True,True,0.5351128708645817,0.7650154552404693,1.1102230246251565e-16,0.0,0.537534671386244,15.83680272102356,480.24148654937744,77,107
5,1,True,True,0.0978618223182011,0.1197645273392433,0.0,-1.1102230246251565e-16,0.1098483963019052,204.28224754333496,8388.112441301346,262,313
1,2,True,False,0.1088708261390327,0.1284330017500451,,,0.1188817894098154,0.2266921997070312,,16,11
2,2,True,False,0.5519973583443178,0.6177122974940128,,,0.5559538150681963,0.8855218887329102,,40,36
